"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pd","Pr","Rb","Re","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"71","P74","*","0.291","*","*","*","0.057","*","*","*","*","*","*","*","*","*","*","*","*","367","1.48","*","*","*","*","*","61.7","*","2.82","72.6","0.56","12.1","11.9","7.5","1.31","*","16.4","9.8","*","7.44","*","2.5","*","*","26.9","5.98","1.19","*","11.7","34.3","5.69","4.94","*","8.13","52.4","*","*","*","7.28","*","8.83","3.46","72.3","0.97","1.81","*","4.88","0.22","1.18","1.29","10.8","*","74.2","7.9","50.3","251"
"72","P75","*","0.272","*","*","*","0.055","*","*","*","*","*","*","*","*","*","*","*","*","380.65","*","*","*","*","*","*","61.74","*","2.57","63.68","0.545","10.83","11.46","7.49","1.289","*","16.26","10.18","*","7.07","*","2.46","*","*","26.88","*","1.215","*","11.69","35.23","5.15","5.04","*","8.23","52.04","*","*","*","5.95","*","8.8","*","70.3","0.955","1.745","*","4.73","*","1.233","1.253","9.37","*","75.48","7.83","43.02","225.61"
"73","P75.1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","0.36","0.94","*","*","*","*","2.52","*","*","*","0.25","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","0.11","*","1.8","*","3.52","*","*","*","0.19","*","0.51","*","*","*","*","*","*","*","*"
"74","P77","74.51","0.29","12.61","2.88","*","0.0577","0.46","1.13","4.41","2.13","0.0565","*","*","0.81","*","*","*","*","369","1.3","*","*","*","*","0.13","58.3","*","2.63","58.68","0.63","5.21","11.64","7.2","1.23","*","15.78","9.63","*","6.75","*","2.29","*","*","26.19","3.15","1.1","*","8.21","33.11","5.69","5.81","*","7.65","51.91","*","*","*","6.75","*","8.39","1.55","69.85","0.871","1.41","*","4.6","0.221","1.035","0.957","9.73","0.91","67.1","7.11","52.5","234.3"
"75","P77.1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","1.01","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"76","P78","*","*","11","2","*","0.06","0.4","1.3","3.6","1.6","*","*","*","*","*","*","*","*","380","1.3","*","*","*","*","6.5","62","*","3.1","75","*","5.9","13","8.3","1.4","*","*","10","*","*","*","2.7","*","*","27","*","1.3","4.3","*","35","8.1","3.2","*","8.1","*","*","*","*","*","6.5","9.2","*","*","*","1.9","*","4.8","0.1","1.2","1.3","10","*","71","8.3","27","*"
"77","P79","*","0.297","12.52","2.907","*","0.058","0.47","1.172","4.465","2.127","0.056","*","*","*","*","*","*","*","373","1.41","*","*","*","*","*","62.1","*","2.87","69.7","0.56","11.6","11.9","7.72","1.33","*","16.4","10.1","*","7.57","*","2.55","*","*","27.2","5.76","1.24","*","11.9","34.6","5.57","4.99","*","8.06","52.8","*","*","*","7.51","*","8.95","3.38","72.4","0.98","1.82","*","4.98","0.21","1.21","1.32","10.1","*","75.5","8.05","51.2","252"
"78","P82","77.3","0.47","12.3","3.34","*","0.04","0.36","0.9","1.01","1.65","0.0952","*","*","0.74","*","*","*","*","*","*","*","*","*","*","67","*","50","3","68","*","12","*","*","*","*","*","*","*","*","0.2","*","*","*","*","*","*","*","*","*","7","5","*","*","*","*","1362","*","*","9","*","*","*","*","*","0.1","*","0.3","*","*","9","*","*","*","48","*"
"79","P82.1","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"80","P83","*","0.29","12.51","3.065","*","0.057","0.493","1.196","4.97","2.223","0.06","*","*","*","0.138","0.479","*","*","380.3","1.5","0.086","*","*","*","0.138","63","*","2.731","65.3","0.52","11.1","11.468","7.504","1.245","*","13.72","9.8","*","7.595","*","2.473","*","*","26.5","6.6","1.233","4","10.301","32.97","5.4","4.745","*","8.25","50.83","*","*","0.136","*","0.073","8.658","3.27","68.4","0.853","1.787","*","4.1","0.199","1.115","1.282","8.1","0.803","69.03","7.919","49.9","234.2"
