"","Laboratory","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","H2O+","CO2","LOI","Ag","As","Au","B","Ba","Be","Bi","Br","C(org)","C(tot)","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","I","In","Ir","La","Li","Lu","Mo","N","Nb","Nd","Ni","Os","Pb","Pd","Pr","Pt","Rb","Re","Rh","Ru","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"62","T84","43.74","0.01","0.37","8.91","*","0.13","46.1","0.48","*","*","*","*","*","0.46","*","*","*","*","9.5","*","*","*","*","*","0.4","36","*","115","2473","*","0.6","*","*","*","*","*","*","*","*","*","*","*","*","*","5.2","*","*","*","*","*","*","2435","*","219","*","*","*","1","*","*","*","*","*","*","*","*","*","360","*","*","*","*","0.5","*","2.2","27","*","*","*","67","*"
"63","T85","42.88","*","0.29","8.98","*","0.13","45.9","0.49","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","111.6","2466","*","17.8","*","*","*","*","1.4","*","1.8","3.2","*","*","*","*","*","*","*","*","*","*","*","*","2221","*","214.1","*","*","*","*","*","*","*","*","*","9.2","*","*","*","3.5","*","*","*","*","*","*","*","33.7","*","*","21.5","62.1","0.6"
"64","T85.1","*","*","*","*","*","*","*","*","*","*","*","*","*","0.45","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"65","T86","44.3","0.02","0.87","9.25","*","0.073","43.7","0.18","0.17","0.1","0.04","*","*","0.44","*","0.657","*","*","*","*","*","*","*","*","0.065","*","*","95","37","*","23","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2121","*","*","*","*","*","*","*","*","*","*","0.511","*","*","*","*","*","*","*","0.03","*","0.239","*","*","15","*","*","*","100","*"
"66","T87","42.862","0.007","0.607","8.761","*","0.123","41.132","0.457","0.025","0.017","0.002","*","*","*","*","*","*","*","20.27","0.127","*","*","*","*","*","2.57","*","90.5","2920","0.14","*","0.31","0.33","0.02","*","0.76","*","*","0.29","*","*","*","*","*","*","*","0.02","0.24","*","0.9","0.19","2377","*","159","*","2.93","*","*","*","*","*","*","*","8.914","*","0.05","*","3.02","0.14","0.02","*","*","0.01","0.03","*","36.54","6.62","1.52","0.1","71.9","12.77"
"67","T88","43.58","0.0022","0.39","9.01","*","0.121","45.4","0.49","*","*","*","*","*","0.37","*","*","*","*","0.27","*","*","*","*","*","*","0.7","*","117","3092","*","5.61","0.0026","0.59","0.0002","*","0.51","0.0061","*","0.018","*","0.001","*","*","*","0.044","1.93","0.0034","0.19","*","0.0054","0.21","2355","*","244","*","3.19","*","0.03","*","*","*","*","*","8.9","*","0.0012","0.07","0.14","*","0.0004","*","0.0024","*","0.0013","0.0014","35.4","7.05","0.03","0.013","60.1","0.74"
"68","T89","43.6","*","0.39","9.07","*","0.13","45.66","0.49","0.02","0.01","*","*","*","0.21","*","*","*","*","*","*","*","*","*","*","*","24","21","123","2768","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","7","*","*","*","*","*","5","2484","*","257","*","*","*","6","*","*","*","*","*","7","*","*","*","4","*","*","*","*","*","*","*","33","*","*","*","72","*"
"69","T90","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","115","3062.5","*","11.9","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","2488.7","*","254.3","*","*","*","*","*","*","*","*","*","8","*","*","*","*","*","*","*","*","*","*","*","34.3","*","*","*","68.97","*"
"70","T91","44.29","0.12","0.94","6.67","*","0.11","45.69","0.57","1.15","0.04","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","96","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","1958","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","64","82"
"71","T92","42.582","*","0.3758","8.705","*","0.122","44.388","0.4712","*","*","*","1.131","0.09656","*","*","*","*","*","1.058","*","*","*","*","*","0.0967","*","*","132.3","*","*","6.499","*","*","*","*","0.4051","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","266.5","*","*","*","*","*","*","*","*","*","9.273","*","*","*","*","*","*","*","0.00215","*","*","0.00164","28.8","*","0.0221","*","70.37","*"
